ID,First Name,Last Name,Phone,LTV
4576,Sophia,Walker,602-310-9331,$496.87 
9488,Evelyn,Harris,171-363-6978,"$38,424.41 "
7265,Lucas,Foster,139-658-8905,"$14,413.64 "
8555,Elijah,Jones,538-241-9868,"$13,440.49 "
7023,Mason,Taylor,937-595-5837,"$1,777.37 "
3412,Gabriel,Harris,821-585-8990,"$21,446.57 "
8225,Daniel,Wallace,434-144-2215,"$12,540.32 "
8699,Victoria,Perry,295-543-5452,$631.97 
3328,Samuel,Martinez,573-597-7252,"$5,426.89 "
9460,Andrew,Perry,870-961-7105,"$4,251.74 "
2452,Ava,Mitchell,677-742-5739,"$11,463.27 "
5094,Joseph,Smith,785-583-7448,"$1,570.58 "
2068,Sofia,Alexander,676-675-3583,"$8,024.52 "
5425,Noah,Alexander,452-664-5404,"$1,021.35 "
3077,Elizabeth,Simmons,632-552-1332,"$1,975.03 "
9593,Logan,Wallace,480-894-8885,"$14,725.31 "
4880,Evelyn,Wallace,470-387-1141,"$47,604.61 "
4497,Joseph,Miller,764-258-2121,"$1,461.14 "
7001,Lucas,Walker,179-216-8788,"$2,215.50 "
1090,Matthew,Johnson,693-494-3915,"$9,839.90 "
8681,Logan,Garcia,926-185-8311,"$7,635.97 "
1235,Evelyn,Taylor,136-380-8351,"$3,903.37 "
3928,Evelyn,Brown,711-524-1294,"$3,264.07 "
7796,Chloe,Brown,nan,"$8,545.96 "
8322,Olivia,Lewis,303-701-1709,"$3,657.21 "
1219,Chloe,Taylor,738-644-1923,"$7,014.82 "
1407,Amelia,Parker,nan,"$23,314.49 "
8217,Oliver,Garcia,539-506-1276,"$9,706.46 "
7806,Oliver,Martinez,nan,"$23,809.27 "
6949,James,Brown,154-725-7274,"$1,083.87 "
6506,Emma,Watson,230-569-5755,"$5,192.15 "
2549,Emily,Harris,?,"$3,941.85 "
9774,Samuel,Brown,241-516-3052,"$8,984.43 "
6181,Chloe,Morales,947-469-3576,"$5,877.25 "
6359,Grace,Hernandez,806-853-4805,"$12,784.18 "
2903,Evelyn,Jones,919-550-2537,"$1,869.24 "
3718,Olivia,Smith,744-101-7533,$27.99 
7062,Chloe,Bailey,360-301-9881,"$10,568.94 "
5081,Grace,Ramirez,821-939-9428,"$5,041.34 "
8119,Oliver,Alexander,194-804-6491,"$1,607.38 "
3731,Matthew,Garcia,964-817-4113,"$13,454.45 "
8485,Madison,Martinez,888-713-1906,"$15,805.61 "
